Team,NumJogadores,IdadeMedia,RatingMedio,PA%,Shots,ShotsOT,KeyPasses,AerialsWon,Touches,Passes,Crosses,AccCrosses,LongBalls,AccLongBalls,ThroughBalls,AccThroughBalls,Dribbles,Fouled,Offsides,Dispossessed,UnsuccessfulTouches,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls
Fluminense,15,30.67,6.92,63.36,11,4,7,10,444,240,8,4,47,17,0,0,4,14,3,4,14,18,11,41,2,16
Inter,16,27.44,6.24,86.02,16,4,11,18,689,507,27,5,35,22,2,0,6,15,3,8,9,13,6,8,1,15
